date and time, temperature, pump cooler freq, concentration, light intensity
2023-06-20 12:29:53, 16.09445, 1, 18358.39, 1581.51
2023-06-20 12:30:03, 16.31488, 1, 17690.65, 1585.93
2023-06-20 12:30:13, 16.14094, 1, 17020.96, 1585.71
2023-06-20 12:30:23, 16.20801, 1, 17334.13, 1585.37
2023-06-20 12:30:33, 16.08388, 1, 17814.3, 1585.67
2023-06-20 12:30:43, 15.98239, 1, 18931.95, 1578.95
2023-06-20 12:30:53, 16.23224, 1, 18390.07, 1581.64
2023-06-20 12:31:03, 16.05277, 1, 19018.48, 1580.46
2023-06-20 12:31:13, 16.23569, 1, 21964.48, 1572.04
2023-06-20 12:31:24, 16.10647, 1, 20845.17, 1565.84
2023-06-20 12:31:34, 16.10287, 1, 18819.49, 1570.66
2023-06-20 12:31:44, 16.18914, 1, 21624.95, 1569.84
2023-06-20 12:31:54, 16.17192, 1, 20445.69, 1571.59
2023-06-20 12:32:04, 16.18051, 1, 21799.03, 1577.41
2023-06-20 12:32:14, 16.19092, 1, 20159.31, 1577.75
2023-06-20 12:32:24, 16.48018, 1, 21071.16, 1571.49
2023-06-20 12:32:34, 16.0858, 1, 19307.02, 1571.91
2023-06-20 12:32:44, 16.47846, 1, 20526.73, 1570.08
2023-06-20 12:32:54, 16.25287, 1, 20503.59, 1580.01
2023-06-20 12:33:04, 16.1771, 1, 19067.51, 1574.38
2023-06-20 12:33:14, 16.10813, 1, 21123.31, 1574.45
2023-06-20 12:33:24, 16.39407, 1, 21740.99, 1575.31
2023-06-20 12:33:34, 16.38719, 1, 17946.7, 1578.11
2023-06-20 12:33:44, 16.35451, 1, 20173.77, 1578.52
2023-06-20 12:33:54, 16.30621, 1, 20685.94, 1571.48
2023-06-20 12:34:04, 16.20118, 1, 21566.91, 1576.63
2023-06-20 12:34:14, 16.28726, 1, 21053.75, 1572.94
2023-06-20 12:34:24, 16.17019, 1, 20688.84, 1571.8
2023-06-20 12:34:34, 16.3872, 1, 20269.23, 1574.45
2023-06-20 12:34:44, 16.22693, 1, 21665.57, 1576.32
2023-06-20 12:34:54, 16.38893, 1, 21662.66, 1575.89
2023-06-20 12:35:04, 16.30974, 1, 21920.95, 1575.24
2023-06-20 12:35:14, 16.11844, 1, 21071.16, 1568.48
2023-06-20 12:35:24, 16.25271, 1, 22536.82, 1569.51
2023-06-20 12:35:34, 16.27008, 1, 21671.34, 1571.02
2023-06-20 12:35:44, 16.16675, 1, 21317.5, 1570.55
2023-06-20 12:35:54, 16.08055, 1, 19925.15, 1573.76
2023-06-20 12:36:04, 16.28521, 1, 21155.19, 1572.79
2023-06-20 12:36:14, 16.14091, 1, 21816.43, 1572.58
2023-06-20 12:36:24, 16.37338, 1, 22164.86, 1576.91
2023-06-20 12:36:34, 16.50538, 1, 19471.58, 1569.31
2023-06-20 12:36:44, 16.57661, 1, 19558.21, 1570.11
2023-06-20 12:36:54, 16.33376, 1, 21198.65, 1574.67
2023-06-20 12:37:04, 16.37338, 1, 22092.25, 1573.66
2023-06-20 12:37:14, 16.28361, 1, 21146.48, 1575.11
2023-06-20 12:37:24, 16.73156, 1, 21450.91, 1564.74
2023-06-20 12:37:34, 16.3545, 1, 21874.5, 1569.65
2023-06-20 12:37:44, 16.32344, 1, 21886.14, 1573.66
2023-06-20 12:37:54, 16.39754, 1, 20645.4, 1566.58
2023-06-20 12:38:04, 16.34581, 1, 21485.72, 1573.92
2023-06-20 12:38:14, 16.44056, 1, 20781.47, 1575.69
2023-06-20 12:38:24, 16.26663, 1, 21709.05, 1570.42
2023-06-20 12:38:34, 16.31421, 1, 20662.76, 1565.35
2023-06-20 12:38:44, 16.46636, 1, 21097.21, 1568.19
2023-06-20 12:38:54, 16.34237, 1, 22719.98, 1569.77
2023-06-20 12:39:04, 16.53356, 1, 22269.43, 1572.87
